Provider_Number,Hospital_Name,Address,City,State,ZIP_Code,County_Name,HBIPS-2_Overall_Rate_Per_1000,HBIPS-2_Overall_Num,HBIPS-2_Overall_Den,HBIPS-2_Overall_Footnote,HBIPS-3_Overall_Rate_Per_1000,HBIPS-3_Overall_Num,HBIPS-3_Overall_Den,HBIPS-3_Overall_Footnote,HBIPS-5_Overall_%_of_Total,HBIPS-5_Overall_Num,HBIPS-5_Overall_Den,HBIPS-5_Overall_Footnote,HBIPS-6_Overall_%_of_Total,HBIPS-6_Overall_Num,HBIPS-6_Overall_Den,HBIPS-6_Overall_Footnote,HBIPS-7_Overall_%_of_Total,HBIPS-7_Overall_Num,HBIPS-7_Overall_Den,HBIPS-7_Overall_Footnote,SUB-1_%,SUB-1_Numerator,SUB-1_Denominator,SUB-1_Footnote,TOB-1_%,TOB-1_Numerator,TOB-1_Denominator,TOB-1_Footnote,TOB-2/-2a_Measure_Desc,TOB-2_%,TOB-2_Numerator,TOB-2/-2a_Denominator,TOB-2_Footnote,TOB-2a_%,TOB-2a_Numerator,TOB-2/-2a__Denominator,TOB-2a_Footnote,PEoC_Assessed_Response,PEoC_Assessed_Footnote,EHR_Use_Response,EHR_Use_Footnote,HIE_Response,HIE_Footnote,Start_Date,End_Date,FUH-30_%,FUH-30_Numerator,FUH-30_Denominator,FUH-30_Footnote,FUH-7_%,FUH-7_Numerator,FUH-7_Denominator,FUH-7_Footnote,FUH_Measure_Start_Date,FUH_Measure_End_Date,IMM-2_%,IMM-2_Numerator,IMM-2_Denominator,IMM-2_Footnote,HCP_%,HCP_Numerator,HCP_Denominator,HCP_Footnote,Flu_Season_Start_Date,Flu_Season_End_Date
10007,MIZELL MEMORIAL HOSPITAL,702 N MAIN STREET PO BOX 1010,OPP,AL,36467,Covington,0.0,0.0,3513.0,nan,0.0,0,3513,nan,92.86,13,14,nan,28.06,71,253,nan,91.70,232,253,nan,100.00,253,253,nan,96.44,244,253,nan,Tobacco Use Treatment (during the hospital stay),56.25,36,64,nan,43.75,28,64,nan,Yes,nan,Certified EHR Technology,nan,Yes,nan,01/01/2015,12/31/2015,Not Available,Not Available,Not Available,1.0,Not Available,Not Available,Not Available,1.0,07/01/2014,06/30/2015,39.06,50,128,nan,54,15,28,nan,10/01/2015,03/31/2016
10008,CRENSHAW COMMUNITY HOSPITAL,101 HOSPITAL CIRCLE ,LUVERNE,AL,36049,Crenshaw,0.44,59.63,5611.0,nan,0.07,10.08,5611,nan,100.0,60,60,nan,100.00,176,176,nan,100.00,176,176,nan,100.00,176,176,nan,100.00,176,176,nan,Tobacco Use Treatment (during the hospital stay),100.00,176,176,nan,100.00,176,176,nan,No,nan,Paper or Other Form,nan,No,nan,01/01/2015,12/31/2015,46.15,18,39,nan,Not Available,Not Available,Not Available,1.0,07/01/2014,06/30/2015,100.00,88,88,nan,34,15,44,nan,10/01/2015,03/31/2016
10011,ST. VINCENT'S EAST,50 MEDICAL PARK EAST DRIVE ,BIRMINGHAM,AL,35235,Jefferson,0.0,0.0,24771.0,nan,0.0,0,24771,nan,nan,Not Available,Not Available,1.0,93.70,238,254,nan,79.13,201,254,nan,0.00,0,332,nan,47.29,157,332,nan,Tobacco Use Treatment (during the hospital stay),0.00,0,30,nan,0.00,0,30,nan,No,nan,Paper or Other Form,nan,No,nan,01/01/2015,12/31/2015,58.33,21,36,nan,Not Available,Not Available,Not Available,1.0,07/01/2014,06/30/2015,67.50,54,80,nan,42,14,33,nan,10/01/2015,03/31/2016
10012,DEKALB REGIONAL MEDICAL CENTER,200 MED CENTER DRIVE ,FORT PAYNE,AL,35968,DeKalb,0.0,0.0,5832.0,nan,0.0,0,5832,nan,nan,Not Available,Not Available,1.0,100.00,241,241,nan,100.00,241,241,nan,98.78,242,245,nan,100.00,245,245,nan,Tobacco Use Treatment (during the hospital stay),95.56,43,45,nan,86.67,39,45,nan,No,nan,Paper or Other Form,nan,No,nan,01/01/2015,12/31/2015,Not Available,Not Available,Not Available,1.0,Not Available,Not Available,Not Available,1.0,07/01/2014,06/30/2015,99.06,105,106,nan,100,54,54,nan,10/01/2015,03/31/2016
10016,SHELBY BAPTIST MEDICAL CENTER,1000 FIRST STREET NORTH ,ALABASTER,AL,35007,Shelby,0.11,41.02,15507.0,nan,0.03,9.75,15507,nan,nan,Not Available,Not Available,1.0,84.45,353,418,nan,79.19,331,418,nan,95.42,583,611,nan,97.84,589,602,nan,Tobacco Use Treatment (during the hospital stay),62.46,178,285,nan,51.23,146,285,nan,Yes,nan,Certified EHR Technology,nan,Yes,nan,01/01/2015,12/31/2015,47.06,40,85,nan,21.18,18,85,nan,07/01/2014,06/30/2015,100.00,171,171,nan,71,65,92,nan,10/01/2015,03/31/2016
10021,DALE MEDICAL CENTER,126 HOSPITAL AVE ,OZARK,AL,36360,Dale,0.0,0.0,3039.0,nan,0.0,0,3039,nan,83.33,30,36,nan,96.65,202,209,nan,96.65,202,209,nan,99.12,224,226,nan,87.79,187,213,nan,Tobacco Use Treatment (during the hospital stay),73.47,36,49,nan,Not Available,Not Available,Not Available,1.0,No,nan,Certified EHR Technology,nan,No,nan,01/01/2015,12/31/2015,65.06,54,83,nan,40.96,34,83,nan,07/01/2014,06/30/2015,6.67,15,225,nan,97,33,34,nan,10/01/2015,03/31/2016
10023,BAPTIST MEDICAL CENTER SOUTH,2105 EAST SOUTH BOULEVARD ,MONTGOMERY,AL,36116,Montgomery,0.06,20.64,13954.0,nan,0.06,20.03,13954,nan,64.91,37,57,nan,84.43,1432,1696,nan,81.78,1387,1696,nan,97.80,1289,1318,nan,99.33,1334,1343,nan,Tobacco Use Treatment (during the hospital stay),71.27,506,710,nan,65.92,468,710,nan,No,nan,Paper or Other Form,nan,No,nan,01/01/2015,12/31/2015,31.65,44,139,nan,15.83,22,139,nan,07/01/2014,06/30/2015,95.58,864,904,nan,83,308,373,nan,10/01/2015,03/31/2016
10033,UNIVERSITY OF ALABAMA HOSPITAL,619  19TH STREET SOUTH ,BIRMINGHAM,AL,35249,Jefferson,0.63,441.63,29399.0,nan,1.16,817.27,29399,nan,81.25,13,16,nan,14.39,377,2620,nan,7.82,205,2620,nan,97.07,298,307,nan,89.81,185,206,nan,Tobacco Use Treatment (during the hospital stay),56.57,56,99,nan,Not Available,Not Available,Not Available,1.0,Yes,nan,Paper or Other Form,nan,Yes,nan,01/01/2015,12/31/2015,45.19,61,135,nan,19.26,26,135,nan,07/01/2014,06/30/2015,97.90,140,143,nan,42,107,254,nan,10/01/2015,03/31/2016
10034,COMMUNITY HOSPITAL INC,805 FRIENDSHIP ROAD ,TALLASSEE,AL,36078,Elmore,0.0,0.0,2299.0,nan,0.0,0,2299,nan,nan,Not Available,Not Available,1.0,27.04,43,159,nan,27.04,43,159,nan,85.53,136,159,nan,67.30,107,159,nan,Tobacco Use Treatment (during the hospital stay),0.00,0,12,nan,0.00,0,12,nan,Yes,nan,Paper or Other Form,nan,No,nan,01/01/2015,12/31/2015,66.67,12,18,nan,Not Available,Not Available,Not Available,1.0,07/01/2014,06/30/2015,0.00,0,75,nan,56,34,61,nan,10/01/2015,03/31/2016
10039,HUNTSVILLE HOSPITAL,101 SIVLEY RD ,HUNTSVILLE,AL,35801,Madison,0.0,0.0,6434.0,nan,0.0,0,6434,nan,66.67,12,18,nan,92.78,424,457,nan,91.90,420,457,nan,98.03,298,304,nan,92.05,278,302,nan,Tobacco Use Treatment (during the hospital stay),86.61,110,127,nan,79.53,101,127,nan,No,nan,Certified EHR Technology,nan,Yes,nan,01/01/2015,12/31/2015,44.44,88,198,nan,18.18,36,198,nan,07/01/2014,06/30/2015,96.90,281,290,nan,70,53,76,nan,10/01/2015,03/31/2016
